Graphics v 0.2.5 ';' exported '2021-12-22 09:38:36'
;Record #0;;;;;;;;;
;Cycle #3;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0.966667;0;0;6;397.552;17.0088;25.001;100;-27.7527;5.15603;
0.97;0;0;6;401.099;16.8185;24.999;100;-27.9657;5.05986;
0.973333;0;0;6;401.405;16.9225;24.9951;100;-27.9657;4.9107;
0.976667;0;0;6;401.303;16.3552;24.9951;100;-27.7437;4.8577;
0.98;0;0;6;400.895;17.525;24.9912;100;-27.7359;4.76546;
0.983333;0;0;6;399.951;16.1825;24.9912;100;-27.7359;4.61825;
0.986667;0;0;6;399.339;16.9637;24.9892;100;-28.0701;4.57115;
0.99;0;0;6;401.456;16.8047;24.9872;100;-28.0701;4.4318;
0.993333;0;0;6;402.885;17.0108;24.9872;100;-28.771;4.3788;
0.996667;0;0;6;397.808;17.0128;24.9853;100;-29.4698;4.25123;
1;0;0;6;400.232;16.4691;24.9853;100;-29.4698;4.20412;
1.00333;0;0;6;399.466;17.8292;24.9853;100;-29.9812;4.12169;
1.00667;0;0;6;401.456;16.3258;24.9833;100;-30.219;3.99019;
1.01;0;0;6;401.941;17.629;24.9813;100;-30.219;3.90383;
1.01333;0;0;6;398.777;16.6163;24.9813;100;-30.0799;3.86261;
1.01667;0;0;6;397.757;17.1521;24.9794;100;-30.0799;3.73896;
1.02;0;0;6;399.415;17.3425;24.9794;100;-29.8366;3.68989;
1.02333;0;0;6;400.614;17.0893;24.9794;100;-29.527;3.56428;
1.02667;0;0;6;402.043;17.0029;24.9853;100;-29.527;3.49558;
1.03;0;0;6;403.447;16.6693;24.9872;100;-29.1658;3.44652;
1.03333;0;0;6;399.977;16.6163;24.9892;100;-28.7565;3.33072;
1.03667;0;0;6;399.237;16.0098;24.9912;100;-28.7565;3.2895;
1.04;0;0;6;399.16;17.4917;24.9931;100;-28.1598;3.17762;
1.04333;0;0;6;402.477;16.5397;24.9931;100;-28.1598;3.11286;
1.04667;0;0;6;401.916;17.4073;24.9951;100;-27.4589;3.07164;
1.05;0;0;6;397.91;16.6555;24.999;100;-26.8196;2.96565;
1.05333;0;0;6;400.563;17.0932;24.999;100;-26.8196;2.9421;
1.05667;0;0;6;400.665;17.8705;25.001;100;-26.2498;2.86555;
1.06;0;0;6;400.461;17.3503;25.0029;100;-26.2498;2.77134;
1.06333;0;0;6;400.742;17.9293;25.0029;100;-25.8281;2.74387;
1.06667;0;0;6;399.492;16.8989;25.0029;100;-25.5197;2.64573;
1.07;0;0;6;396.608;17.5761;25.0049;100;-25.5197;2.61629;
1.07333;0;0;6;398.726;16.1727;25.0049;100;-24.9399;2.52993;
1.07667;0;0;6;399.849;17.8194;25.0069;100;-24.2266;2.46909;
1.08;0;0;6;400.971;17.1109;25.0088;100;-24.2266;2.44357;
1.08333;0;0;6;402.298;17.1482;25.0069;100;-23.4112;2.38469;
1.08667;0;0;6;399.772;18.1452;25.0088;100;-22.5117;2.3317;
1.09;0;0;6;399.058;17.2679;25.0108;100;-22.5117;2.25123;
1.09333;0;0;6;398.905;17.6742;25.0108;100;-21.6896;2.22571;
1.09667;0;0;6;402.579;16.8714;25.0108;100;-21.6896;2.15113;
1.1;0;0;6;400.589;17.6565;25.0108;100;-20.9393;2.12954;
1.10333;0;0;6;399.619;16.316;25.0108;100;-20.1441;2.0844;
1.10667;0;0;6;399.16;17.8803;25.0108;100;-20.1441;2.01374;
1.11;0;0;6;400.078;17.4563;25.0088;100;-19.3456;1.98822;
1.11333;0;0;6;400.793;17.1953;25.0108;100;-18.4517;1.92738;
1.11667;0;0;6;402.758;18.0137;25.0108;100;-18.4517;1.92542;
1.12;0;0;6;402.553;16.7871;25.0088;100;-17.5006;1.86457;
1.12333;0;0;6;398.777;17.8234;25.0108;100;-17.5006;1.83317;
1.12667;0;0;6;400.41;16.7812;25.0226;100;-16.609;1.77625;
1.13;0;0;6;398.879;17.4642;25.0265;100;-15.843;1.74877;
